"","PLACEFIPS","BlackVictimCount"
"1","0100124",1
"2","0103004",1
"3","0107000",3
"4","0119648",1
"5","0122816",2
"6","0128696",1
"7","0130736",1
"8","0135800",1
"9","0135896",1
"10","0136448",1
"11","0137000",2
"12","0145784",1
"13","0150000",1
"14","0151000",2
"15","0158896",1
"16","0159472",1
"17","0162496",1
"18","0174592",2
"19","0176080",1
"20","0176320",1
"21","0177256",2
"22","0177280",1
"23","0203000",2
"24","0207070",1
"25","0275077",1
"26","0410530",1
"27","0427820",3
"28","0455000",10
"29","0473000",1
"30","0477000",2
"31","0505320",1
"32","0507330",1
"33","0509880",1
"34","0515190",1
"35","0524430",1
"36","0524550",1
"37","0531190",2
"38","0534750",1
"39","0541000",5
"40","0543460",1
"41","0544180",1
"42","0550450",2
"43","0555310",2
"44","0558580",1
"45","0573310",1
"46","0574540",3
"47","0600296",1
"48","0600562",1
"49","0602000",1
"50","0602252",1
"51","0602462",1
"52","0602476",1
"53","0602980",1
"54","0603209",1
"55","0603526",2
"56","0604030",1
"57","0606000",1
"58","0611390",1
"59","0613014",1
"60","0613392",1
"61","0613854",1
"62","0617918",1
"63","0622230",1
"64","0624477",1
"65","0627000",1
"66","0628168",3
"67","0630014",1
"68","0632548",1
"69","0634281",1
"70","0636546",1
"71","0639108",1
"72","0640130",2
"73","0641124",1
"74","0641572",1
"75","0643000",2
"76","0644000",7
"77","0646170",1
"78","0647486",1
"79","0648354",2
"80","0648452",1
"81","0649270",1
"82","0650916",1
"83","0651560",1
"84","0653000",2
"85","0656000",2
"86","0657456",1
"87","0658072",2
"88","0659444",2
"89","0662000",1
"90","0662364",1
"91","0662826",1
"92","0664000",5
"93","0665000",2
"94","0666000",3
"95","0667000",3
"96","0668084",1
"97","0669000",1
"98","0675000",3
"99","0680000",1
"100","0680644",2
"101","0681554",1
"102","0681666",3
"103","0682590",1
"104","0683346",1
"105","0684592",2
"106","0684780",1
"107","0685614",1
"108","0804000",6
"109","0804110",1
"110","0816000",4
"111","0816495",1
"112","0820000",3
"113","0833035",1
"114","0862000",2
"115","0883835",1
"116","0937000",1
"117","0950370",1
"118","0971250",1
"119","0982800",1
"120","1004130",1
"121","1023240",1
"122","1043245",1
"123","1047420",1
"124","1056500",1
"125","1077580",2
"126","1150000",3
"127","1200625",1
"128","1204350",1
"129","1207950",1
"130","1208300",1
"131","1210250",1
"132","1212875",2
"133","1213150",1
"134","1214412",1
"135","1215375",1
"136","1216525",1
"137","1219212",1
"138","1222975",1
"139","1224000",2
"140","1224125",1
"141","1224300",1
"142","1224710",1
"143","1225925",1
"144","1225987",1
"145","1226700",1
"146","1231350",1
"147","1232000",3
"148","1233700",1
"149","1235000",9
"150","1238250",1
"151","1239425",2
"152","1239525",1
"153","1239550",1
"154","1244175",1
"155","1245000",1
"156","1245025",2
"157","1245060",2
"158","1245975",2
"159","1247700",1
"160","1249450",1
"161","1250525",1
"162","1250638",2
"163","1251075",1
"164","1253000",3
"165","1253875",2
"166","1254175",1
"167","1254725",1
"168","1255925",1
"169","1258715",1
"170","1262625",1
"171","1263000",2
"172","1266425",1
"173","1268275",1
"174","1268525",1
"175","1270600",3
"176","1270675",1
"177","1271000",4
"178","1276525",1
"179","1276600",1
"180","1304000",12
"181","1304204",2
"182","1304896",1
"183","1306884",2
"184","1307612",1
"185","1311560",1
"186","1311784",1
"187","1312456",1
"188","1312834",1
"189","1316600",1
"190","1317776",1
"191","1319000",2
"192","1319168",1
"193","1320064",1
"194","1321072",1
"195","1322108",1
"196","1325720",2
"197","1342425",1
"198","1343640",1
"199","1345488",1
"200","1347140",1
"201","1348288",2
"202","1348624",1
"203","1349008",2
"204","1349756",3
"205","1352192",1
"206","1353004",1
"207","1362524",1
"208","1363952",1
"209","1367984",1
"210","1369000",5
"211","1371604",3
"212","1372122",1
"213","1375160",1
"214","1376224",2
"215","1377652",1
"216","1378324",1
"217","1384260",1
"218","1639700",1
"219","1703012",1
"220","1714000",22
"221","1714026",1
"222","1718563",1
"223","1718992",1
"224","1728872",1
"225","1733695",1
"226","1738570",3
"227","1747774",1
"228","1759000",2
"229","1764616",1
"230","1764928",1
"231","1765000",2
"232","1765078",1
"233","1778370",1
"234","1784220",1
"235","1816138",1
"236","1820728",1
"237","1822000",1
"238","1825000",1
"239","1827000",6
"240","1836003",5
