"","PLACEFIPS","BlackVictimCountPreGF"
"1","0100124",1
"2","0103004",1
"3","0107000",3
"4","0119648",1
"5","0122816",2
"6","0128696",1
"7","0130736",1
"8","0135800",1
"9","0135896",1
"10","0136448",1
"11","0137000",2
"12","0145784",1
"13","0150000",1
"14","0151000",2
"15","0158896",1
"16","0159472",1
"17","0162496",1
"18","0174592",2
"19","0176320",1
"20","0177256",1
"21","0177280",1
"22","0203000",2
"23","0207070",1
"24","0275077",1
"25","0410530",1
"26","0427820",3
"27","0455000",8
"28","0473000",1
"29","0477000",2
"30","0505320",1
"31","0507330",1
"32","0509880",1
"33","0515190",1
"34","0524430",1
"35","0524550",1
"36","0531190",2
"37","0534750",1
"38","0541000",4
"39","0543460",1
"40","0544180",1
"41","0550450",1
"42","0555310",2
"43","0558580",1
"44","0573310",1
"45","0574540",3
"46","0600296",1
"47","0600562",1
"48","0602000",1
"49","0602252",1
"50","0602462",1
"51","0602476",1
"52","0602980",1
"53","0603526",2
"54","0604030",1
"55","0606000",1
"56","0611390",1
"57","0613014",1
"58","0613392",1
"59","0613854",1
"60","0617918",1
"61","0622230",1
"62","0624477",1
"63","0627000",1
"64","0628168",3
"65","0630014",1
"66","0632548",1
"67","0634281",1
"68","0636546",1
"69","0639108",1
"70","0640130",1
"71","0641124",1
"72","0641572",1
"73","0643000",2
"74","0644000",7
"75","0646170",1
"76","0647486",1
"77","0648354",2
"78","0648452",1
"79","0649270",1
"80","0650916",1
"81","0651560",1
"82","0653000",2
"83","0656000",1
"84","0657456",1
"85","0658072",2
"86","0659444",1
"87","0662000",1
"88","0662364",1
"89","0664000",4
"90","0665000",1
"91","0666000",2
"92","0667000",3
"93","0668084",1
"94","0669000",1
"95","0675000",2
"96","0680000",1
"97","0680644",2
"98","0681554",1
"99","0681666",3
"100","0682590",1
"101","0683346",1
"102","0684592",1
"103","0684780",1
"104","0685614",1
"105","0804000",6
"106","0804110",1
"107","0816000",4
"108","0816495",1
"109","0820000",3
"110","0833035",1
"111","0862000",2
"112","0883835",1
"113","0937000",1
"114","0950370",1
"115","0971250",1
"116","0982800",1
"117","1004130",1
"118","1023240",1
"119","1043245",1
"120","1047420",1
"121","1056500",1
"122","1077580",2
"123","1150000",3
"124","1204350",1
"125","1207950",1
"126","1208300",1
"127","1210250",1
"128","1212875",2
"129","1213150",1
"130","1214412",1
"131","1215375",1
"132","1216525",1
"133","1219212",1
"134","1222975",1
"135","1224000",2
"136","1224125",1
"137","1224300",1
"138","1224710",1
"139","1225925",1
"140","1225987",1
"141","1226700",1
"142","1232000",3
"143","1233700",1
"144","1235000",9
"145","1238250",1
"146","1239425",2
"147","1239525",1
"148","1239550",1
"149","1244175",1
"150","1245000",1
"151","1245025",2
"152","1245060",2
"153","1245975",2
"154","1247700",1
"155","1249450",1
"156","1250525",1
"157","1250638",1
"158","1251075",1
"159","1253000",3
"160","1253875",2
"161","1254175",1
"162","1255925",1
"163","1258715",1
"164","1262625",1
"165","1263000",2
"166","1268275",1
"167","1268525",1
"168","1270600",2
"169","1270675",1
"170","1271000",4
"171","1276525",1
"172","1276600",1
"173","1304000",11
"174","1304204",2
"175","1304896",1
"176","1306884",2
"177","1307612",1
"178","1311560",1
"179","1311784",1
"180","1312456",1
"181","1312834",1
"182","1316600",1
"183","1317776",1
"184","1319000",2
"185","1319168",1
"186","1320064",1
"187","1321072",1
"188","1322108",1
"189","1325720",2
"190","1342425",1
"191","1343640",1
"192","1345488",1
"193","1347140",1
"194","1348288",1
"195","1348624",1
"196","1349008",2
"197","1349756",3
"198","1352192",1
"199","1353004",1
"200","1362524",1
"201","1363952",1
"202","1369000",5
"203","1371604",2
"204","1372122",1
"205","1376224",2
"206","1377652",1
"207","1378324",1
"208","1384260",1
"209","1639700",1
"210","1703012",1
"211","1714000",22
"212","1718563",1
"213","1718992",1
"214","1728872",1
"215","1733695",1
"216","1738570",3
"217","1747774",1
"218","1759000",2
"219","1764616",1
"220","1764928",1
"221","1765000",2
"222","1765078",1
"223","1784220",1
"224","1820728",1
"225","1822000",1
"226","1825000",1
"227","1827000",6
"228","1836003",5
"229","1838358",1
"230","1842426",1
"231","1848528",1
"232","1861092",1
"233","1871000",1
"234","1879964",1
"235","1909550",1
"236","1921000",1
"237","1928020",1
"238","1983145",1
"239","2036000",1
"240","2039000",1
