"","PLACEFIPS","PostGFProtestCount"
"1","",4
"2","0100988",15
"3","0101708",1
"4","0101852",1
"5","0102860",1
"6","0102956",3
"7","0103076",6
"8","0107000",17
"9","0109208",1
"10","0111032",1
"11","0118976",2
"12","0119336",1
"13","0119648",1
"14","0120104",1
"15","0121184",2
"16","0123320",2
"17","0126896",7
"18","0126992",1
"19","0127616",1
"20","0128696",12
"21","0132416",2
"22","0135800",1
"23","0135896",5
"24","0137000",13
"25","0138272",1
"26","0138416",1
"27","0145784",4
"28","0150000",12
"29","0151000",21
"30","0151600",1
"31","0151696",2
"32","0153016",1
"33","0157048",3
"34","0157144",1
"35","0158848",1
"36","0159472",1
"37","0163336",1
"38","0169120",2
"39","0171976",1
"40","0174352",1
"41","0174400",1
"42","0174592",3
"43","0176920",3
"44","0177256",4
"45","0177304",3
"46","0178552",2
"47","0181720",1
"48","0203000",24
"49","0206520",1
"50","0217410",3
"51","0218620",1
"52","0218950",1
"53","0224230",4
"54","0230940",1
"55","0231050",1
"56","0232150",1
"57","0233140",11
"58","0236400",7
"59","0238970",3
"60","0240950",1
"61","0241830",1
"62","0254920",1
"63","0258660",3
"64","0270540",2
"65","0270760",1
"66","0271640",4
"67","0274830",1
"68","0280660",1
"69","0282200",1
"70","0283080",2
"71","0400870",1
"72","0406260",2
"73","0408220",3
"74","0410180",1
"75","0410530",2
"76","0412000",4
"77","0412840",1
"78","0414380",1
"79","0415500",2
"80","0420050",32
"81","0423620",13
"82","0423760",1
"83","0425300",2
"84","0427400",9
"85","0427820",3
"86","0428380",1
"87","0429710",3
"88","0437620",5
"89","0439370",5
"90","0444270",2
"91","0444410",2
"92","0446000",9
"93","0449640",4
"94","0451180",1
"95","0452930",2
"96","0453700",4
"97","0454050",1
"98","0455000",95
"99","0457380",7
"100","0457450",3
"101","0458150",1
"102","0462000",1
"103","0462140",2
"104","0465000",9
"105","0466470",1
"106","0466820",5
"107","0466845",1
"108","0471510",1
"109","0473000",9
"110","0477000",110
"111","0482670",3
"112","0482740",2
"113","0483160",1
"114","0485540",6
"115","0501870",1
"116","0504030",1
"117","0505290",2
"118","0505320",5
"119","0510300",1
"120","0514140",2
"121","0515190",5
"122","0516240",1
"123","0521070",6
"124","0523290",3
"125","0524550",14
"126","0530460",4
"127","0533400",3
"128","0534750",2
"129","0535710",5
"130","0541000",26
"131","0546580",1
"132","0547390",2
"133","0550450",1
"134","0555310",1
"135","0557170",1
"136","0560410",3
"137","0561670",2
"138","0563020",1
"139","0563710",2
"140","0564370",1
"141","0566080",3
"142","0568810",1
"143","0571960",1
"144","0577600",2
"145","0600296",6
"146","0600394",1
"147","0600562",11
"148","0600674",4
"149","0600884",3
"150","0600947",1
