"","PLACEFIPS","ProtestTotalPreGF"
"1","",32
"2","0100820",2
"3","0100988",15
"4","0101708",3
"5","0101852",7
"6","0102116",1
"7","0102860",1
"8","0102956",7
"9","0103076",14
"10","0107000",77
"11","0109208",1
"12","0111032",1
"13","0112016",1
"14","0114104",1
"15","0118976",2
"16","0119336",1
"17","0119648",2
"18","0120104",5
"19","0120296",1
"20","0121184",10
"21","0123320",2
"22","0125120",1
"23","0125240",4
"24","0125864",1
"25","0126896",22
"26","0126992",1
"27","0127616",1
"28","0128696",18
"29","0129056",1
"30","0131024",1
"31","0132416",2
"32","0133424",1
"33","0133472",1
"34","0134096",1
"35","0135632",1
"36","0135800",1
"37","0135896",12
"38","0137000",56
"39","0138272",1
"40","0138416",4
"41","0143120",1
"42","0144608",1
"43","0145040",1
"44","0145472",1
"45","0145784",4
"46","0148064",3
"47","0148400",2
"48","0150000",52
"49","0150192",1
"50","0150312",3
"51","0151000",75
"52","0151600",1
"53","0151696",2
"54","0153016",1
"55","0157000",2
"56","0157048",5
"57","0157144",2
"58","0157576",1
"59","0158848",2
"60","0159472",1
"61","0162496",3
"62","0163336",1
"63","0167176",1
"64","0168160",2
"65","0168736",1
"66","0169120",11
"67","0171976",2
"68","0173848",1
"69","0174352",1
"70","0174400",1
"71","0174592",4
"72","0175768",1
"73","0176920",4
"74","0176944",1
"75","0177256",21
"76","0177280",2
"77","0177304",4
"78","0178552",2
"79","0180928",1
"80","0181720",1
"81","0200065",1
"82","0203000",114
"83","0204210",1
"84","0206520",4
"85","0209710",1
"86","0217410",9
"87","0218620",1
"88","0218950",5
"89","0224230",47
"90","0230940",4
"91","0231050",5
"92","0232150",1
"93","0233140",27
"94","0236400",59
"95","0238420",3
"96","0238970",10
"97","0240950",5
"98","0241830",2
"99","0254920",5
"100","0255910",1
"101","0258660",9
"102","0260310",2
"103","0268340",1
"104","0268560",3
"105","0270540",10
"106","0270760",3
"107","0271640",15
"108","0274830",2
"109","0277800",1
"110","0280660",2
"111","0280770",3
"112","0281920",3
"113","0282200",6
"114","0283080",7
"115","0285610",1
"116","0286380",2
"117","0400870",8
"118","0402430",1
"119","0402830",1
"120","0404720",2
"121","0405770",3
"122","0406260",9
"123","0407940",1
"124","0408220",3
"125","0409340",1
"126","0410180",1
"127","0410530",8
"128","0411300",1
"129","0412000",18
"130","0412840",1
"131","0414380",2
"132","0415500",3
"133","0416410",2
"134","0420050",206
"135","0422220",1
"136","0422360",5
"137","0423620",55
"138","0423760",5
"139","0425300",3
"140","0427400",19
"141","0427820",24
"142","0428140",2
"143","0428380",2
"144","0429710",6
"145","0436290",1
"146","0436430",1
"147","0437620",14
"148","0439370",11
"149","0444270",3
"150","0444410",4
"151","0446000",30
"152","0447400",1
"153","0449640",8
"154","0451180",1
"155","0451600",1
"156","0452930",2
"157","0453700",15
"158","0454050",6
"159","0455000",331
"160","0455845",1
"161","0455980",1
