"","PLACEFIPS","VictimsCount"
"1","0100124",1
"2","0100988",1
"3","0101852",1
"4","0103004",2
"5","0104684",1
"6","0107000",6
"7","0115064",1
"8","0115256",1
"9","0119648",1
"10","0120152",1
"11","0120296",1
"12","0122816",2
"13","0123176",1
"14","0125240",2
"15","0126896",1
"16","0128696",1
"17","0130736",1
"18","0131348",1
"19","0132848",1
"20","0132968",1
"21","0133712",1
"22","0135800",2
"23","0135896",1
"24","0136448",1
"25","0137000",5
"26","0138272",1
"27","0141968",1
"28","0142352",1
"29","0144728",2
"30","0145784",1
"31","0150000",2
"32","0151000",4
"33","0151456",1
"34","0157576",1
"35","0157648",2
"36","0158896",1
"37","0159472",1
"38","0159640",1
"39","0160720",1
"40","0162496",1
"41","0163216",1
"42","0163408",1
"43","0165208",1
"44","0168160",1
"45","0169240",2
"46","0174352",1
"47","0174592",3
"48","0176080",1
"49","0176320",1
"50","0177256",2
"51","0177280",1
"52","0203000",7
"53","0203110",1
"54","0205000",1
"55","0207070",1
"56","0216420",1
"57","0216750",1
"58","0220020",1
"59","0224230",2
"60","0226870",1
"61","0236400",1
"62","0240645",1
"63","0254085",1
"64","0258660",2
"65","0260750",1
"66","0266140",1
"67","0266550",1
"68","0268560",1
"69","0272985",1
"70","0275077",1
"71","0278350",1
"72","0283080",2
"73","0402830",2
"74","0404720",3
"75","0407940",5
"76","0410530",1
"77","0410670",1
"78","0412000",4
"79","0412770",1
"80","0412840",1
"81","0413890",1
"82","0420540",2
"83","0420960",1
"84","0421800",2
"85","0422220",1
"86","0422400",1
"87","0423620",3
"88","0425045",2
"89","0426070",1
"90","0427400",1
"91","0427820",9
"92","0428030",2
"93","0428190",1
"94","0428195",2
"95","0428380",1
"96","0437620",2
"97","0439370",2
"98","0444270",2
"99","0446000",19
"100","0450362",1
"101","0453070",1
"102","0453350",1
"103","0453770",1
"104","0454050",1
"105","0455000",61
"106","0455300",1
"107","0455980",2
"108","0457380",1
"109","0458010",1
"110","0465000",5
"111","0465350",1
"112","0465490",1
"113","0470240",2
"114","0471510",1
"115","0473000",4
"116","0473700",1
"117","0474190",1
"118","0477000",17
"119","0478760",1
"120","0483930",1
"121","0485400",1
"122","0485540",2
"123","0500580",1
"124","0502590",1
"125","0504030",1
"126","0505320",1
"127","0507330",1
"128","0509460",1
"129","0509790",1
"130","0509880",1
"131","0510300",1
"132","0514140",1
"133","0514260",1
"134","0515190",1
"135","0522660",1
