"","PLACEFIPS","VictimCountPreGF"
"1","0100124",1
"2","0100988",1
"3","0101852",1
"4","0103004",2
"5","0104684",1
"6","0107000",6
"7","0115064",1
"8","0115256",1
"9","0119648",1
"10","0120152",1
"11","0120296",1
"12","0122816",2
"13","0123176",1
"14","0125240",2
"15","0126896",1
"16","0128696",1
"17","0130736",1
"18","0131348",1
"19","0132848",1
"20","0132968",1
"21","0133712",1
"22","0135800",2
"23","0135896",1
"24","0136448",1
"25","0137000",5
"26","0138272",1
"27","0141968",1
"28","0142352",1
"29","0144728",1
"30","0145784",1
"31","0150000",2
"32","0151000",4
"33","0151456",1
"34","0157576",1
"35","0157648",2
"36","0158896",1
"37","0159472",1
"38","0159640",1
"39","0160720",1
"40","0162496",1
"41","0163216",1
"42","0163408",1
"43","0165208",1
"44","0168160",1
"45","0169240",2
"46","0174352",1
"47","0174592",3
"48","0176320",1
"49","0177256",1
"50","0177280",1
"51","0203000",7
"52","0203110",1
"53","0205000",1
"54","0207070",1
"55","0216420",1
"56","0216750",1
"57","0220020",1
"58","0224230",2
"59","0226870",1
"60","0236400",1
"61","0240645",1
"62","0254085",1
"63","0258660",2
"64","0260750",1
"65","0266140",1
"66","0266550",1
"67","0268560",1
"68","0272985",1
"69","0275077",1
"70","0278350",1
"71","0283080",1
"72","0402830",2
"73","0404720",3
"74","0407940",5
"75","0410530",1
"76","0410670",1
"77","0412000",4
"78","0412770",1
"79","0412840",1
"80","0413890",1
"81","0420540",2
"82","0420960",1
"83","0421800",2
"84","0422220",1
"85","0422400",1
"86","0423620",3
"87","0425045",2
"88","0426070",1
"89","0427400",1
"90","0427820",9
"91","0428030",2
"92","0428190",1
"93","0428195",1
"94","0428380",1
"95","0437620",2
"96","0439370",1
"97","0444270",2
"98","0446000",18
"99","0450362",1
"100","0453070",1
"101","0453350",1
"102","0453770",1
"103","0454050",1
"104","0455000",56
"105","0455300",1
"106","0455980",2
"107","0457380",1
"108","0458010",1
"109","0465000",5
"110","0465350",1
"111","0465490",1
"112","0470240",2
"113","0471510",1
"114","0473000",4
"115","0473700",1
"116","0474190",1
"117","0477000",16
"118","0478760",1
"119","0483930",1
"120","0485400",1
"121","0485540",2
"122","0502590",1
"123","0504030",1
"124","0505320",1
"125","0507330",1
"126","0509460",1
"127","0509790",1
"128","0509880",1
"129","0514140",1
"130","0514260",1
"131","0515190",1
"132","0522660",1
"133","0523290",1
"134","0524130",1
"135","0524430",2
