"","PLACEFIPS","VictimHighThreat"
"1","0100124",1
"2","0100988",1
"3","0101852",1
"4","0103004",1
"5","0104684",1
"6","0107000",4
"7","0115064",1
"8","0115256",1
"9","0119648",1
"10","0120296",1
"11","0123176",1
"12","0125240",2
"13","0126896",1
"14","0128696",1
"15","0132968",1
"16","0133712",1
"17","0135800",2
"18","0135896",1
"19","0137000",3
"20","0138272",1
"21","0141968",1
"22","0142352",1
"23","0145784",1
"24","0150000",2
"25","0151000",3
"26","0157576",1
"27","0157648",2
"28","0158896",1
"29","0163216",1
"30","0163408",1
"31","0168160",1
"32","0169240",2
"33","0174352",1
"34","0174592",1
"35","0177280",1
"36","0203000",5
"37","0203110",1
"38","0207070",1
"39","0216420",1
"40","0220020",1
"41","0224230",2
"42","0226870",1
"43","0240645",1
"44","0254085",1
"45","0258660",1
"46","0260750",1
"47","0266550",1
"48","0272985",1
"49","0275077",1
"50","0283080",1
"51","0402830",2
"52","0404720",2
"53","0407940",5
"54","0410530",1
"55","0412000",3
"56","0412840",1
"57","0420540",1
"58","0421800",1
"59","0422220",1
"60","0423620",2
"61","0425045",1
"62","0426070",1
"63","0427400",1
"64","0427820",6
"65","0428030",1
"66","0428190",1
"67","0428195",1
"68","0428380",1
"69","0437620",2
"70","0444270",1
"71","0446000",14
"72","0453070",1
"73","0454050",1
"74","0455000",40
"75","0455300",1
"76","0455980",2
"77","0457380",1
"78","0458010",1
"79","0465000",3
"80","0465490",1
"81","0470240",1
"82","0473000",2
"83","0473700",1
"84","0474190",1
"85","0477000",8
"86","0478760",1
"87","0485400",1
"88","0485540",1
"89","0502590",1
"90","0504030",1
"91","0507330",1
"92","0509460",1
"93","0509790",1
"94","0509880",1
"95","0514140",1
"96","0514260",1
"97","0522660",1
"98","0523290",1
"99","0524130",1
"100","0524430",2
"101","0524910",1
"102","0529290",1
"103","0531190",2
"104","0534750",3
"105","0535710",2
"106","0541000",4
"107","0543460",1
"108","0543820",1
"109","0544180",1
"110","0544300",1
"111","0550450",1
"112","0552970",1
"113","0555310",3
"114","0558490",1
"115","0558580",1
"116","0560770",1
"117","0561670",1
"118","0566080",2
"119","0566110",1
"120","0570010",1
"121","0571480",1
"122","0573310",1
"123","0574540",2
"124","0600296",1
"125","0600562",1
"126","0600884",1
"127","0602000",1
"128","0602042",1
"129","0602462",1
"130","0602476",1
"131","0602553",1
"132","0602896",1
"133","0602980",1
"134","0603162",1
"135","0603209",1
