"","PLACEFIPS","VictimsPreGF2020"
"1","0100988",1
"2","0103004",1
"3","0104684",1
"4","0107000",3
"5","0119648",1
"6","0126896",1
"7","0142352",1
"8","0151000",1
"9","0157648",1
"10","0168160",1
"11","0169240",1
"12","0177280",1
"13","0203000",1
"14","0203110",1
"15","0216420",1
"16","0220020",1
"17","0240645",1
"18","0258660",1
"19","0402830",1
"20","0407940",1
"21","0410670",1
"22","0412000",2
"23","0413890",1
"24","0422220",1
"25","0422400",1
"26","0446000",3
"27","0455000",4
"28","0455980",1
"29","0465000",1
"30","0465350",1
"31","0477000",2
"32","0478760",1
"33","0502590",1
"34","0515190",1
"35","0524430",2
"36","0541000",1
"37","0541270",1
"38","0543820",1
"39","0600884",1
"40","0601290",1
"41","0603526",1
"42","0604996",1
"43","0608100",1
"44","0611964",1
"45","0613392",1
"46","0617568",1
"47","0617918",1
"48","0619318",1
"49","0623350",1
"50","0625380",1
"51","0627000",2
"52","0628000",1
"53","0629000",1
"54","0630798",1
"55","0631708",1
"56","0634281",1
"57","0636252",1
"58","0637554",1
"59","0639248",1
"60","0639715",1
"61","0640130",1
"62","0640872",1
"63","0642202",1
"64","0643000",3
"65","0644000",3
"66","0646492",1
"67","0648452",2
"68","0650132",1
"69","0650258",1
"70","0653322",1
"71","0656000",1
"72","0658072",1
"73","0658940",1
"74","0659892",1
"75","0660466",1
"76","0660620",2
"77","0664000",1
"78","0666000",2
"79","0668000",1
"80","0668084",1
"81","0669000",1
"82","0669088",1
"83","0680000",1
"84","0683542",1
"85","0685446",1
"86","0803455",2
"87","0804000",2
"88","0815165",1
"89","0816000",3
"90","0816495",2
"91","0820000",2
"92","0831660",1
"93","0832155",1
"94","0836610",1
"95","0838370",1
"96","0853395",1
"97","0862000",3
"98","0873330",1
"99","0878335",1
"100","0884440",1
"101","0901150",1
"102","0944690",1
"103","0980000",1
"104","0982800",1
"105","1047420",1
"106","1200410",1
"107","1207950",1
"108","1213150",1
"109","1217200",1
"110","1224000",1
"111","1224125",1
"112","1224710",1
"113","1229100",1
"114","1230000",1
"115","1235000",5
"116","1235350",1
"117","1239925",1
"118","1243975",1
"119","1245000",1
"120","1245025",1
"121","1247700",1
"122","1249475",1
"123","1253000",1
"124","1253150",1
"125","1254175",1
"126","1257058",1
"127","1257900",1
